HOJA,COMPONENTE,TIPO,RUTA/FUNCIÓN,ESTADO,PRIORIDAD,DESCRIPCIÓN,PROBLEMAS_IDENTIFICADOS,TIEMPO_ESTIMADO,ASIGNADO_A,FECHA_INICIO,FECHA_LIMITE,NOTAS

BOT_COMANDOS,/start,Comando,start(),✅ Funcional,Alta,Mensaje de bienvenida + teclado personalizado,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
BOT_COMANDOS,/help,Comando,help_command(),✅ Funcional,Media,Lista de comandos y ayuda,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
BOT_COMANDOS,/status,Comando,status(),⚠️ Error menor,Alta,Verificar estado del sistema,Error módulo database,1h,Dev,23/07/2025,23/07/2025,PENDIENTE - necesita fix de import
BOT_COMANDOS,/sucursales,Comando,sucursales(),⚠️ Error menor,Media,Lista todas las sucursales,Error módulo database,1h,Dev,23/07/2025,23/07/2025,PENDIENTE - necesita fix de import
BOT_COMANDOS,/resumen,Comando,resumen(),⚠️ Error menor,Media,Resumen estadístico + botón dashboard,Error módulo database,1h,Dev,23/07/2025,23/07/2025,PENDIENTE - necesita fix de import

BOT_BOTONES,📈 Indicadores por Áreas,Botón Teclado,indicadores_areas(),✅ Funcional,Alta,Muestra áreas operativas + mini web app,,1h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
BOT_BOTONES,📋 Ayuda,Botón Teclado,help_command(),✅ Funcional,Baja,Mismo que /help,,0.2h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
BOT_BOTONES,📊 Estado,Botón Teclado,status(),⚠️ Error menor,Media,Mismo que /status,Error módulo database,1h,Dev,23/07/2025,23/07/2025,PENDIENTE - necesita fix de import

BOT_INLINE,🏪 Ventas,Botón Inline,area_ventas,🔄 Datos simulados,Media,Métricas simuladas de ventas,Mostrar datos reales de DB,2h,Dev,24/07/2025,24/07/2025,PENDIENTE - integrar datos reales
BOT_INLINE,⚙️ Operaciones,Botón Inline,area_operaciones,🔄 Datos simulados,Media,Métricas simuladas de operaciones,Mostrar datos reales de DB,2h,Dev,24/07/2025,24/07/2025,PENDIENTE - integrar datos reales
BOT_INLINE,👥 Servicio al Cliente,Botón Inline,area_servicio,🔄 Datos simulados,Media,Métricas simuladas de servicio,Mostrar datos reales de DB,2h,Dev,24/07/2025,24/07/2025,PENDIENTE - integrar datos reales
BOT_INLINE,📦 Inventarios,Botón Inline,area_inventarios,🔄 Datos simulados,Media,Métricas simuladas de inventarios,Mostrar datos reales de DB,2h,Dev,24/07/2025,24/07/2025,PENDIENTE - integrar datos reales
BOT_INLINE,👔 Recursos Humanos,Botón Inline,area_rrhh,🔄 Datos simulados,Media,Métricas simuladas de RRHH,Mostrar datos reales de DB,2h,Dev,24/07/2025,24/07/2025,PENDIENTE - integrar datos reales
BOT_INLINE,📊 Dashboard Detallado,WebApp Button,/indicadores-areas,✅ Funcional,Alta,Abre dashboard de áreas,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
BOT_INLINE,🏠 Dashboard Principal,WebApp Button,/,✅ Funcional,Alta,Abre dashboard principal,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente

BOT_MENU,📊 Abrir Dashboard Analytics,Menu Button,WEBAPP_URL,✅ Funcional,Alta,Botón persistente en chat,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente

FLASK_RUTAS,/,GET Route,metabase_dashboard.html,✅ Funcional,Alta,Dashboard principal,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
FLASK_RUTAS,/indicadores-areas,GET Route,indicadores_areas.html,✅ Funcional,Alta,Dashboard por áreas,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente

API_CORE,/api/health,GET,health_check(),✅ Funcional,Alta,Health check + DB status,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
API_CORE,/api/summary,GET,get_summary_stats(),✅ Funcional,Alta,Estadísticas generales,,1h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
API_CORE,/api/sucursales,GET,get_sucursales_list(),✅ Funcional,Media,Lista de sucursales,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
API_CORE,/api/grupos,GET,get_grupos_operativos(),✅ Funcional,Media,Lista de grupos operativos,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente
API_CORE,/api/areas,GET,get_areas_evaluacion(),✅ Funcional,Media,Lista de áreas de evaluación,,0.5h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente

API_PERFORMANCE,/api/performance/sucursal,GET,get_performance_by_sucursal_filtered(),✅ Funcional,Alta,Performance por sucursal con filtros,,2h,Dev,22/07/2025,22/07/2025,Completado - filtros funcionando
API_PERFORMANCE,/api/performance/grupo,GET,get_performance_by_grupo_filtered(),✅ Funcional,Alta,Performance por grupo con filtros,,2h,Dev,22/07/2025,22/07/2025,Completado - filtros funcionando
API_PERFORMANCE,/api/performance/area,GET,get_performance_by_area(),✅ Funcional,Media,Performance por área,,1h,Dev,22/07/2025,22/07/2025,Completado - funciona correctamente

API_AREAS,/api/areas/supervision,GET,get_areas_supervision(),✅ Funcional,Alta,Datos de supervisión por área,,1h,Dev,21/07/2025,21/07/2025,Completado - funciona correctamente
API_AREAS,/api/areas/details/<area>,GET,get_area_details(),✅ Funcional,Media,Detalles de área específica,,1h,Dev,21/07/2025,21/07/2025,Completado - funciona correctamente
API_AREAS,/api/areas/trends,GET,get_areas_trends(),✅ Funcional,Baja,Tendencias por áreas,,1h,Dev,21/07/2025,21/07/2025,Completado - funciona correctamente
